DateBag;Site;ID;Week;Station;TreatmentNr;DateSorting;SorterID;SpeciesTreatmentNr;Species;NbSeedStart;SeedsCount;DamagedSeedsCount;SignsPredation;Notes;
17.10.2024;BEA;SG&JK;2;9;1;12.02.2025;CT;5;Abies alba;25;25;0;;;
17.10.2024;BEA;SG&JK;2;9;1;12.02.2025;CT;5;Picea abies;120;120;0;;;
17.10.2024;BEA;SG&JK;2;9;2;12.02.2025;CT;5;Abies alba;25;25;1;Hole;;
17.10.2024;BEA;SG&JK;2;9;2;12.02.2025;CT;5;Picea abies;120;120;0;;;
24.10.2024;BEA;MD;3;9;1;02.11.2024;CW;5;Abies alba;25;25;;;;
24.10.2024;BEA;MD;3;9;1;02.11.2024;CW;5;Picea abies;120;120;;;1 ant, 3 other insects;
24.10.2024;BEA;MD;3;9;2;02.11.2024;CW;5;Abies alba;25;25;1;Hole;;
24.10.2024;BEA;MD;3;9;2;02.11.2024;CW;5;Picea abies;120;120;;;5 fagus sylvatica, 1 ant, 6 other insects;
10.10.2024;BEA;MD&SG;1;10;1;21.01.2025;CT;5;Abies alba;25;25;0;;;
10.10.2024;BEA;MD&SG;1;10;1;21.01.2025;CT;5;Picea abies;120;120;0;;;
10.10.2024;BEA;MD&SG;1;10;2;17.02.2025;CT;5;Abies alba;25;25;0;;;
10.10.2024;BEA;MD&SG;1;10;2;17.02.2025;CT;5;Picea abies;120;119;0;;;
17.10.2024;BEA;SG&JK;2;10;2;20.01.2025;CT;5;Abies alba;25;25;0;;Bug in sample;
17.10.2024;BEA;SG&JK;2;10;2;20.01.2025;CT;5;Picea abies;120;120;0;;Bug in sample;
17.10.2024;BEA;SG&JK;2;10;1;12.02.2025;CT;5;Abies alba;25;25;1;Crack;;
17.10.2024;BEA;SG&JK;2;10;1;12.02.2025;CT;5;Picea abies;120;118;0;;;
24.10.2024;BEA;MD;3;10;1;02.11.2024;CW;5;Abies alba;25;25;;;;
24.10.2024;BEA;MD;3;10;1;02.11.2024;CW;5;Picea abies;120;120;1;Crack;1 catapillar;
24.10.2024;BEA;MD;3;10;2;02.11.2024;CW;5;Abies alba;25;25;;;;
24.10.2024;BEA;MD;3;10;2;02.11.2024;CW;5;Picea abies;120;121;;;1 extra seed;
09.10.2024;BET;MD&SG;1;1;1;28.04.2025;CT;1;Abies alba;25;25;0;;;
09.10.2024;BET;MD&SG;1;1;1;28.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;1;1;28.04.2025;CT;1;Picea abies;120;119;1;Hole;;
09.10.2024;BET;MD&SG;1;1;2;29.04.2025;CT;1;Abies alba;25;25;0;;;
09.10.2024;BET;MD&SG;1;1;2;29.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;1;2;29.04.2025;CT;1;Picea abies;120;121;0;;;
09.10.2024;BET;MD&SG;1;2;2;22.04.2025;CT;1;Abies alba;25;25;0;;;
09.10.2024;BET;MD&SG;1;2;2;22.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;2;2;22.04.2025;CT;1;Picea abies;120;119;0;;;
09.10.2024;BET;MD&SG;1;2;1;30.04.2025;CT;1;Abies alba;25;25;0;;;
09.10.2024;BET;MD&SG;1;2;1;30.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;2;1;30.04.2025;CT;1;Picea abies;120;120;1;Hole;;
09.10.2024;BET;MD&SG;1;3;2;28.04.2025;CT;1;Abies alba;25;24;1;Hole;;
09.10.2024;BET;MD&SG;1;3;2;28.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;3;2;28.04.2025;CT;1;Picea abies;120;120;1;Hole;;
09.10.2024;BET;MD&SG;1;3;1;05.05.2025;CT;1;Abies alba;25;25;0;;;
09.10.2024;BET;MD&SG;1;3;1;05.05.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;3;1;05.05.2025;CT;1;Picea abies;120;121;0;;;
09.10.2024;BET;MD&SG;1;4;2;22.04.2025;CT;1;Abies alba;25;25;0;;;
09.10.2024;BET;MD&SG;1;4;2;22.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;4;2;22.04.2025;CT;1;Picea abies;120;121;0;;;
09.10.2024;BET;MD&SG;1;4;1;30.04.2025;CT;1;Abies alba;25;25;0;;;
09.10.2024;BET;MD&SG;1;4;1;30.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;4;1;30.04.2025;CT;1;Picea abies;120;120;2;Hole;;
09.10.2024;BET;MD&SG;1;5;2;22.04.2025;CT;1;Abies alba;25;25;0;;;
09.10.2024;BET;MD&SG;1;5;2;22.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;5;2;22.04.2025;CT;1;Picea abies;120;120;1;Crack;;
09.10.2024;BET;MD&SG;1;5;1;05.05.2025;CT;1;Abies alba;25;25;0;;;
09.10.2024;BET;MD&SG;1;5;1;05.05.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;5;1;05.05.2025;CT;1;Picea abies;120;123;0;;;
09.10.2024;BET;MD&SG;1;6;1;15.04.2025;CT;1;Abies alba;25;24;1;Hole;;
09.10.2024;BET;MD&SG;1;6;1;15.04.2025;CT;1;Fagus sylvatica;5;0;0;;;
09.10.2024;BET;MD&SG;1;6;1;15.04.2025;CT;1;Picea abies;120;15;0;;;
09.10.2024;BET;MD&SG;1;6;2;28.04.2025;CT;1;Abies alba;25;25;1;Crack;;
09.10.2024;BET;MD&SG;1;6;2;28.04.2025;CT;1;Fagus sylvatica;5;5;1;Hole;;
09.10.2024;BET;MD&SG;1;6;2;28.04.2025;CT;1;Picea abies;120;121;1;Hole;;
09.10.2024;BET;MD&SG;1;7;2;22.04.2025;CT;1;Abies alba;25;25;0;;;
09.10.2024;BET;MD&SG;1;7;2;22.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;7;2;22.04.2025;CT;1;Picea abies;120;119;0;;;
09.10.2024;BET;MD&SG;1;7;1;28.04.2025;CT;1;Abies alba;25;25;1;Crack;;
09.10.2024;BET;MD&SG;1;7;1;28.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;7;1;28.04.2025;CT;1;Picea abies;120;121;0;;;
09.10.2024;BET;MD&SG;1;8;1;22.04.2025;CT;1;Abies alba;25;24;0;;;
09.10.2024;BET;MD&SG;1;8;1;22.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
